,top_n,bert_theta,gtp_theta,bleu,mover,rouge-1,rouge-4,rouge-l,rouge-w,cleaned
0,86,0.40724716913189973,0.006692545221812839,"[5.474320712955125e-232, 6.686350417856737e-232, 9.711929667259895e-232, 6.7393716283177006e-155, 1.331960397810445e-231, 1.0003688322288243e-231, 0, 1.2508498911928379e-231, 4.502083459540591e-155, 1.0832677820940877e-231, 0.23801761257033807, 0.670422683816333, 1.3165594234639305e-231, 0, 0.15048958015468575, 0, 1.0518351895246305e-231, 6.206021746903507e-78, 8.416851712392762e-232, 0.8801117367933934, 1.1409851298103347e-231, 0.21200626759025185, 1.1640469867513693e-231, 7.600394483915427e-155, 8.166726842395623e-232, 1.0832677820940877e-231, 0, 0.5329462628216854, 1.1200407237786664e-231, 0.3446073377034663, 7.617293365989231e-232, 7.241926111174567e-155, 0.38501731899475716, 5.791739854583281e-155, 1.3416480207402436e-231, 8.853864984883467e-232, 0, 1.0518351895246305e-231, 1.0518351895246305e-231, 9.53091075863908e-155]",[0.2477813911900255],1.0,0.0,1.0,1.0,"or die runningthrhth!.	muslim brotherhood refuses to.	a and i .-keyboard.	a .' engine . ltd . container.	a squire on . in cicero.	. . . "" . . . . . . .	. . and allen . chain . . . ;	a . . . . i . . .	"" marieiniga horse.	. . . . on . . . . and on note . . . .	the dogs ping a more byel through the snow.	a dog is jumping over a barrier at a lightly competition.	. . or . to . in, city and, , . 1 ., ., . the not.	rev . reed . bush.	in the evening of the execution, several fearing left.	the toes mused far-of on friday may 242 103	an ivy on to one the . pdf?	philippines holds; senator over corruption	. . . . . . .	the brown train is sitting on the railroad tracks.	. . . . is . . a . and . a.	egyptian about once from liam bob her trader to life in prison	. . . . . .	woman is putting serious.	act i cmvn girls.	. . . . . . . .	us serena . jarrett ellison . new center del hall.	great has grazing in grassy field.	. . . . . . .	two people . facing each other and a table . and points at the other.	. . . . . . . . . . . . .	a . jumping . an obstacle . fcc.	the injured were taken to hospitals in but indo columbia, about 48 month; their conditions were immediately available.	2 . 10; 1 . 2; . 3rd ,.	several . . connected . eight case, . threatening for, and . . . .	the hot must-read for friday, august.	no . a . ;	file on pounds rick over yang after pow.	. . . . . . code . .	the white; is sitting .; tracks."
1,98,0.17882295886053706,0.006281876709654977,"[5.474320712955125e-232, 6.686350417856737e-232, 7.711523862191631e-155, 0.4671379777282001, 7.711523862191631e-155, 0.6315552371794037, 1.0244914152188952e-231, 7.241926111174567e-155, 4.9823743656555826e-155, 6.7393716283177006e-155, 0.20969025558524573, 0.670422683816333, 0.161692143534558, 0, 0.22869470664051195, 0, 1.4740564900137075e-231, 0.7598356856515925, 1.1077199809555581e-231, 0.8801117367933934, 3.908633169762327e-78, 0.24808415001701817, 1.384292958842266e-231, 1.1862177682648818e-231, 9.711929667259895e-232, 0.3655552228545123, 1.0244914152188952e-231, 0.5329462628216854, 8.286571670851008e-155, 0.4261082723917018, 6.5525087774089644e-155, 4.583829695130767e-78, 0.33024002397118396, 1.2882297539194154e-231, 0.2204887282071633, 8.853864984883467e-232, 1.4488496539373276e-231, 1.2882297539194154e-231, 1.384292958842266e-231, 0.3155984539112945]",[0.3247937477574254],0.7142857142857143,0.0,0.7142857142857143,0.7142857142857143,"or die runningthrghth fold.	muslim brotherhood refuses to back	a and vis plain . keyboard.	a an is opinion butter into a container.	a squire tun around in cicero.	person with two ask poles skiing down a snowy hill.	sent confirms janet!' chain ave us federal reserve	a . of . grin in a file.	a marieiniga horse.	. push it page on note at a tae dan one note to a other.	the dogspling anne nancyci through the snow.	a dog is jumping over a barrier at a slightly competition.	the injured war taken to hospital in affairs city and claim, a cell to but 30 miles to the not.	rev early reads . much.	in the leading to the execution, several fearing letter.	then toes mused far-for friday may 242 103	runs system down the ann pdf?	philippines holds second senator over corruption	gray . laying in rowan . .	the brown train is sitting on the railroad tracks.	a brow dog with his thou wigan as he run trough . file	egyptian court once themllum bonnetrdi a dear to life in prison	a .! a yukon.	newman is putting shrimp.	sure is men girls.	a person song won a snowy hill.	us serena confirmed jarrett ellison as new centerahl bari child	great boss grazing in grassy field.	. man i driving a known.	town people syed facing each other act a table a one points at the other.	he . or plain men on a . of, through to . .	a dog jumping over and obstacle courts fen.	the injured were taken to hospitals inference byinda columbia, about 48 month; their conditions were immediately available.	pc .'; relay roads; sofa . 3rd . 2015	several ford official connected i eight case have received threatening later, accompanied by nfl ballots.	the notes must-read for friday, august.	print . any .?	file on penned rick overng after awful typhoon	a gee dat lin on . adobe tal.	the what; is station on the tracks."
2,39,0.32611122286468297,0.011509173735906118,"[5.474320712955125e-232, 6.686350417856737e-232, 5.395774370246974e-78, 0.4671379777282001, 1.331960397810445e-231, 1.0003688322288243e-231, 1.2183324802375697e-231, 1.384292958842266e-231, 4.9823743656555826e-155, 1.1988328686372911e-231, 0.23801761257033807, 0.670422683816333, 0.3360900161340426, 0, 0.22869470664051195, 0, 1.1200407237786664e-231, 0.7598356856515925, 9.55980462367717e-232, 0.8801117367933934, 1.1409851298103347e-231, 0.22416933501922293, 1.384292958842266e-231, 7.600394483915427e-155, 8.166726842395623e-232, 1.0832677820940877e-231, 0, 0.5329462628216854, 1.331960397810445e-231, 0.2878787818101127, 9.709385502639237e-232, 0.5133450480401704, 0.38501731899475716, 1.1640469867513693e-231, 5.974540365813254e-155, 8.853864984883467e-232, 1.2183324802375697e-231, 1.2508498911928379e-231, 1.384292958842266e-231, 7.241926111174567e-155]",[0.15673332395459916],0.6,0.0,0.6,0.6,"or die runningthrhth!.	muslim brotherhood refuses to.	a and is . a keyboard.	a . is opinion butter into a container.	a squire up . in cicero.	person . . "" . . . . . . .	net confirms and allen . chair . . . ;	a . . . . in . a.	a marieiniga horse.	., . . on . . . . and, note . a . .	the dogs ping a moon byel through the snow.	a dog is jumping over a barrier at a slightly competition.	the injured were . the hospital in the city and, , a all to about 30 miles to the north.	rev early red; much ;	in the leading to the execution, several fearing letter.	the toes mused far-for friday may 242 103	trans . down . the part.	philippines holds second senator over corruption	. . . . . . . .	the brown train is sitting on the railroad tracks.	. . . . . . . as . . . a.	egyptian court once them liam bonnet red later to life in prison	a he yes a . .	woman is putting ships.	and i cmvn girls.	. . . . . . . .	us serena confirm jarrett ellison . new center del paul.	great has grazing in grassy field.	. . . driving . . .	two people and facing and other a a table . and points at the other.	. . . ., . . . . . . . . .	a dog jumping one an obstacle course fence.	the injured were taken to hospitals in but indo columbia, about 48 month; their conditions were immediately available.	no . . . 1 .; . . 3rd . .	several ., connected it but case, rapid threatening later, and by . bullets.	the hot must-read for friday, august.	no . . .?	file on penned pick over yang after awful typhoon	a . at . on we . tal.	the what; is station . . tracks."
3,62,0.7774876893821565,0.013975677310539756,"[0, 6.686350417856737e-232, 1.1200407237786664e-231, 0.2984745896009823, 1.331960397810445e-231, 1.0003688322288243e-231, 0, 1.0518351895246305e-231, 4.502083459540591e-155, 9.109159947227211e-232, 0.23801761257033807, 6.5806869883189804e-155, 8.412065649527267e-232, 0, 0.2211862500885863, 0, 0, 0, 8.416851712392762e-232, 0.8801117367933934, 9.594503055152632e-232, 1.1640469867513693e-231, 1.384292958842266e-231, 9.97486269044271e-232, 9.711929667259895e-232, 1.0832677820940877e-231, 0, 4.677477553605556e-78, 1.1200407237786664e-231, 9.109159947227211e-232, 7.617293365989231e-232, 6.7393716283177006e-155, 0.3308795350826236, 9.788429383461836e-232, 1.0669733992029681e-231, 0, 0, 1.0832677820940877e-231, 1.0518351895246305e-231, 1.2508498911928379e-231]",[-0.10023337404085364],1.0,0.0,1.0,1.0,"or die runningthrhth! ""	the brotherhood refuses to.	1 and 2 . . nos.	in a kiss . or into a container.	a in "" . in press.	"" no . "" no . "" "" no . ""	. . . . . . . . . .	. . . . . . . . .	"" marieiniga horse.	. . . . . . . . . . . . . . . .	the dogs ping a more byel through the snow.	a team show jumping event . and at team ability competition.	. . . . . . . . . . . . . . . . . . . . . .	rev . res . med.	1 for leading to the execution, several fearing it.	the toes mused far-soon friday may 242 103	in the new of the year.	philippines and . . overseas.	. . . . . . .	the brown train is sitting on the railroad tracks.	. . . . . . . a . . . . .	and at once them lips be her traces to lie in ;	a .; a . ;	and a hunting one.	sex is men girls.	. .; . . . . ;	"" and, and ellen, "" center del . ""	a his grazing in grassy fields.	. . . . . . .	. . . . . . . . . . . . . . . .	. . . . . . . . . . . . .	a . in a an obstacle . "".	the injured were taken to hospitals in but indo double, about 48 month . their conditions were immediately available.	2 . 3; no . 2 . . 3 . .	. . . . . the . . . . . . . . . . .	be a must-read to find a good a.	no . a . ;	file on penned his everyng after inc.	. . . . . . . . .	. .; . the . . ;."
4,24,0.17253453556586693,0.0018955005151916281,"[5.474320712955125e-232, 6.686350417856737e-232, 7.711523862191631e-155, 0.5133450480401704, 7.711523862191631e-155, 0.40352786374639904, 1.2183324802375697e-231, 7.241926111174567e-155, 4.9823743656555826e-155, 7.57965434483665e-155, 0.22613617379612147, 0.670422683816333, 0.161692143534558, 0, 0.22869470664051195, 0, 1.4740564900137075e-231, 0.7598356856515925, 1.1903225844148727e-231, 0.8801117367933934, 6.311514251575017e-155, 0.24808415001701817, 1.384292958842266e-231, 7.600394483915427e-155, 9.711929667259895e-232, 0.5410822690539396, 0, 0.5329462628216854, 7.711523862191631e-155, 0.4261082723917018, 3.334554300057338e-78, 0.8633400213704505, 0.33024002397118396, 3.603235312613151e-78, 0.4385068972747104, 8.853864984883467e-232, 1.4488496539373276e-231, 1.2882297539194154e-231, 1.384292958842266e-231, 0.3155984539112945]",[0.30607345858325763],0.625,0.0,0.625,0.625,"or die runningthrghth fold.	muslim brotherhood refuses to back	a and vis plain . keyboard.	a man is opinion butter into a container.	a squire tun around in cicero.	person with two is roles asking down a snowy hill.	sant confirms janet allen' chair ave us federal reserve	a . of is garion in a afl.	a marieiniga horse.	we push sit page on one at a the dan one not to a other.	the dogs ping anne nancycl through the snow.	a dog is jumping over a barrier at a slightly competition.	the injured war taken to hospital in affairs city and calm, a call tow but 30 miles to the port.	rev early reads; much ;	in the leading to the execution, several fearing letter.	then toes mused far-for friday may 242 103	runs system down the non prof?	philippines holds second senator over corruption	gray is laying . brown the.	the brown train is sitting on the railroad tracks.	a how dog wit his thou wigan as he run trough . file	egyptian court once themllum bonnetrl a dear to life in prison	a name is a rock.	woman is putting shrimp.	sure is men girls.	a person song down a snowy hill.	us serena confirm jarrett ellison is new centerahl bari cried	great boss grazing in grassy field.	. min i driving a known.	two people syed facing each other dat a table a one points at the other.	. a or plain man on a of, through to now.	a dog jumping over an obstacle course fence.	the injured were taken to hospitals inference byinda columbia, about 48 month; their conditions were immediately available.	rec .' . early roads: sept . 3rd , 2015	several ford official connected it eight case have received threatening later, accompanied by rifle bullets.	the notes must-read for friday, august.	print . any par?	file on penned rick overng after awful typhoon	a geo dat lin on . above tal.	the what turn is setting on the tracks."
5,46,0.9563874278516306,0.0022992413144344963,"[7.060301868108111e-232, 6.686350417856737e-232, 1.331960397810445e-231, 4.335118471269586e-78, 1.1200407237786664e-231, 1.0003688322288243e-231, 0, 1.0518351895246305e-231, 4.502083459540591e-155, 9.109159947227211e-232, 0.23801761257033807, 8.190757052088229e-155, 8.412065649527267e-232, 9.853445011990208e-232, 0.2338759847118491, 0, 0, 0, 8.416851712392762e-232, 0.7598356856515925, 9.594503055152632e-232, 3.1712496890592535e-78, 1.1640469867513693e-231, 9.97486269044271e-232, 9.711929667259895e-232, 1.0832677820940877e-231, 0, 4.677477553605556e-78, 1.1200407237786664e-231, 2.852668381554072e-78, 7.617293365989231e-232, 1.0518351895246305e-231, 0.3022658280799751, 1.1640469867513693e-231, 1.0669733992029681e-231, 8.324264127738903e-232, 0, 1.0832677820940877e-231, 1.0518351895246305e-231, 1.0518351895246305e-231]",[-0.18678182939859944],0.0,0.0,0.0,0.0,""" die running truth! ""	the brotherhood refuses to.	a . i ., vol.	in a box . in is a container.	"" . . . "" . .	"" no . "" no . "" "" no . ""	. . . . . . . . . .	. . . . . . . . .	"" marieiniga horse.	. . . . . . . . . . . . . . . .	the dogs ping a more byel through the snow.	the team is jumping event a is a team team competition.	. . . . . . . . . . . . . . . . . . . . . .	2; 2; 6 ;	1 for prior to the execution, several fearing letters.	the toes mused far-for-may 242 10	. the . . . "".	philippines and canada usa vs.	., and . . . .	the whole train is sitting on the railroad tracks.	. . . . . . . a . . . . .	life in space from liam banner red ladder to life in space	. . . . . .	"" a hunting one.	sex is men girls.	. .; . . . . ;	"" evans, and allison, "" center ask . ""	a his grazing in grassy fields.	. . . . . . .	the people . fire . death . the table . the point of the other.	. . . . . . . . . . . . .	. . . a human . . . .	the injured were taken to hospitals in but indo double, about 48 month . the conditions were immediately available.	no . 1 . no . 2 ., london ,.	. . and then, but . . and . . . and . . . .	teen-must-read for friday, ages 23 ;	no . 1 . ;	file on round his everyng after "".	. . . . . . . . .	. . . . . . . ""."
6,6,0.6095947970107685,0.005821812214362753,"[0, 8.34076112986429e-232, 1.4740564900137075e-231, 0.5133450480401704, 1.331960397810445e-231, 0.4172261448611506, 1.2183324802375697e-231, 0.43167001068522526, 4.502083459540591e-155, 0.1892240568795935, 0.23801761257033807, 0.670422683816333, 0.49328706824337465, 9.853445011990208e-232, 0.2211862500885863, 0, 1.1200407237786664e-231, 8.38826642100846e-155, 8.416851712392762e-232, 0.8801117367933934, 3.3744794443119017e-78, 0.1933853138176172, 1.384292958842266e-231, 7.600394483915427e-155, 9.711929667259895e-232, 0.345720784641941, 0, 4.677477553605556e-78, 0.41113361690051975, 0.4792365811426396, 2.5818309208524584e-78, 0.4671379777282001, 0.3308795350826236, 5.791739854583281e-155, 0.34823528327578535, 1.1084551487393798e-231, 1.2183324802375697e-231, 1.0518351895246305e-231, 1.2508498911928379e-231, 0.8633400213704505]",[0.9997213326731379],1.0,1.0,1.0,1.0,"or die runningth rightth!!	my brother had refuses to.	a mare is in a car.	a man is pushing butter into a container.	a squire in armour in rome.	person with two ski poles skiing on a snow hill.	she confirms that ali' think of us all.	a group of horses grazed in a field.	"" marieiniga horse.	a man sat at a tree at the one end are not at the other.	the dogs ping a moon byel through the snow.	a dog is jumping over a barrier at a little competition.	the injured were taken to hospitals in the city and later to a bull stop about 30 miles to the north.	rev early a: no.	i was leading to the execution, several featuring me.	the toes mused far-of on friday may 242 103	house have both earth and her?	philippines holds suspended sentence over corruption	he is lying, he said.	the brown train is sitting on the railroad tracks.	a brown dog . a no dog as a brown brown dog.	egyptian and once from liam be her tale deep to life in prison	a new . a rock.	woman is eating shrimp.	sex is men girls.	a bird song on a snowy hill.	us news center janet ellison; news center del hall.	rudolf bass grazing in grassy fields.	a young . driving a car.	two people sat facing each other at a table, one point at the other.	.' a child, or a-a, through the sea.	a dog jump . an obstacle course fence.	the injured were taken to hospitals in cut indo columbia, about 48 month after their conditions were immediately available.	inc .' ' in', sept . 3 , 2015	several of also arrested in the case and received threatening fire, accompanied by rifle bullets.	the next must-read for friday, ages 23 ;	no of any car.	file on pounds pick over yang after all.	a gee bee, or a dat dat.	the white train is sitting on the tracks."
7,80,0.11174171774591639,0.016656740825205026,"[6.510101141652543e-232, 6.686350417856737e-232, 7.711523862191631e-155, 0.4671379777282001, 7.711523862191631e-155, 4.661032518640916e-78, 1.0244914152188952e-231, 7.241926111174567e-155, 4.9823743656555826e-155, 7.57965434483665e-155, 0.20969025558524573, 0.670422683816333, 0.161692143534558, 9.853445011990208e-232, 0.22869470664051195, 0, 1.331960397810445e-231, 0.7598356856515925, 1.258141043412406e-231, 0.8801117367933934, 6.60585259847259e-155, 0.24808415001701817, 1.384292958842266e-231, 1.1862177682648818e-231, 9.711929667259895e-232, 0.3655552228545123, 0, 0.5329462628216854, 8.286571670851008e-155, 0.4261082723917018, 6.2368395880847334e-155, 0.4671379777282001, 0.25821926374402143, 1.2882297539194154e-231, 0.2204887282071633, 8.853864984883467e-232, 1.4488496539373276e-231, 1.0832677820940877e-231, 1.384292958842266e-231, 0.5873949094699213]",[0.35034025237471256],0.75,0.4,0.75,0.75,"brown die runningthrghth fled.	muslim brotherhood refuses to back	a and vis plain . keyboard.	a nam is opinion butter into a container.	a squire tun around in cicero.	person with two ask poles asking down a snowy hall.	sent confirms janet yin' chain ave us federal reserve	a gen of hers grin in a afl.	a marieidiga horse.	we push sit page one note at a the dan one nose to a other.	the dogspling amino nancycl through the snow.	a dog is jumping over a barrier at a lightly competition.	the injured war taken to hospital in affairs city and claim, a cell tow but 30 miles to the port.	rev early reads: march?	i the leading to the execution, several fearing letter.	then toes mused far-for friday may 242 103	runs ventem downs the non profit?	philippines holds second senator over corruption	gray ca laying . . rowan the.	the brown train is sitting on the railroad tracks.	a brow dog wit his thou wigan as he run trough a fell	egyptian court once themllum bonnetrdi a dear to life in prison	a nam lap a yukon.	newman is putting shrimp.	sure is men girls.	a person song won a snowy hill.	us serena confirmed jarrett ellison axis new centerahl bari cried	great boss grazing in grassy field.	. man i driving a known.	town people syed facing each other dat a table a one points at the other.	he . or plain men on a of, through to pew.	a dog jumping over an obstacle courts fen.	the injured were taken to hospitals inference cutinda columbia, about48 month; their conditions wreath immediately available.	rec .'; early roads; sofa . 3rd . 2015	several fred official connected i eight case have received threatening later, accompanied by nfl ballots.	the notes must-read for friday, august 201	porn gut any par?	file on penned rick everyng after powful python	a gee dat lin on we code tal.	the what tran is sitting on the tracks."
8,43,0.6510117168687355,0.012312475221454008,"[8.396161215621529e-232, 6.686350417856737e-232, 1.1200407237786664e-231, 0.2984745896009823, 1.331960397810445e-231, 1.0003688322288243e-231, 0, 1.0518351895246305e-231, 4.502083459540591e-155, 9.109159947227211e-232, 0.23801761257033807, 8.190757052088229e-155, 8.412065649527267e-232, 0, 0.2211862500885863, 0, 0, 1.1640469867513693e-231, 1.0009379942300742e-231, 0.8801117367933934, 9.594503055152632e-232, 0.1933853138176172, 1.384292958842266e-231, 7.600394483915427e-155, 9.711929667259895e-232, 1.0832677820940877e-231, 0, 4.677477553605556e-78, 1.1200407237786664e-231, 2.852668381554072e-78, 7.617293365989231e-232, 1.2508498911928379e-231, 0.3308795350826236, 1.1640469867513693e-231, 1.0669733992029681e-231, 8.853864984883467e-232, 0, 1.0518351895246305e-231, 1.0518351895246305e-231, 1.0518351895246305e-231]",[-0.19136896120561575],0.0,0.0,0.0,0.0,"or die running truth serum.	the brotherhood refuses to.	1 and 2 . & no.	in a kiss . or into a container.	a in "" . in cicero.	"" no . "" no . "" "" oh . ""	. . . . . . . . . .	. . . . . . . . .	"" marieiniga horse.	. . . . . . . . . . . . . . . .	the dogs ping a moon byel through the snow.	a dog is an event . it is a little competition.	. . . . . . . . . . . . . . . . . . . . . .	rev . res . soc.	1 . leading to the execution, several fearing letter.	the toes mused far-of on friday may 242 103	in the new of the "".	philippines and . . over.	., and on . . .	the brown train is sitting on the railroad tracks.	. . . . . . . a the . . . .	and at once them lips be her tale deep to life in prison	and he was a boy.	woman is putting ships.	sex is men girls.	. .; . . . . .	susan sharp, janet ellison, "" center del . ""	a his grazing in grassy fields.	. . . . . . .	the people . life and death . the table . the point of the other.	. . . . . . . . . . . . .	. . . a an . . . .	the injured were taken to hospitals in cut indo columbia, about 48 month after their conditions were immediately available.	no . 1 . no . 2 ., june ,.	and . . ., but . . and that . . . . . . .	the next must-read for friday, august.	no . a . ;	five on pounds pick over yang after chow.	. . . . . . and . .	. . . . . . . . ."
